0003|add [rbx],al
6748232c24|and rbp,[esp]
6748232e|and rbp,[esi]
6748232f|and rbp,[edi]
67482333|and rsi,[ebx]
6748233424|and rsi,[esp]
67482336|and rsi,[esi]
67482337|and rsi,[edi]
6748233b|and rdi,[ebx]
6748233c24|and rdi,[esp]
6748233e|and rdi,[esi]
6748233f|and rdi,[edi]
6748234500|and rax,[ebp]
6748234d00|and rcx,[ebp]
6748235d00|and rbx,[ebp]
6748236500|and rsp,[ebp]
6748236d00|and rbp,[ebp]
6748237500|and rsi,[ebp]
6748237d00|and rdi,[ebp]
67482903|sub [ebx],rax
67482903|sub [ebx],rax
6748290424|sub [esp],rax
6748290424|sub [esp],rax
67482906|sub [esi],rax
67482906|sub [esi],rax
67482907|sub [edi],rax
67482907|sub [edi],rax
6748290b|sub [ebx],rcx
6748290b|sub [ebx],rcx
6748290c24|sub [esp],rcx
6748290c24|sub [esp],rcx
6748290e|sub [esi],rcx
6748290e|sub [esi],rcx
6748290f|sub [edi],rcx
6748290f|sub [edi],rcx
6748291b|sub [ebx],rbx
6748291b|sub [ebx],rbx
6748291c24|sub [esp],rbx
6748291c24|sub [esp],rbx
6748291e|sub [esi],rbx
6748291e|sub [esi],rbx
6748291f|sub [edi],rbx
6748291f|sub [edi],rbx
67482923|sub [ebx],rsp
67482923|sub [ebx],rsp
6748292424|sub [esp],rsp
6748292424|sub [esp],rsp
67482926|sub [esi],rsp
67482926|sub [esi],rsp
67482927|sub [edi],rsp
67482927|sub [edi],rsp
6748292b|sub [ebx],rbp
6748292b|sub [ebx],rbp
6748292c24|sub [esp],rbp
6748292c24|sub [esp],rbp
6748292e|sub [esi],rbp
6748292e|sub [esi],rbp
6748292f|sub [edi],rbp
6748292f|sub [edi],rbp
67482933|sub [ebx],rsi
67482933|sub [ebx],rsi
6748293424|sub [esp],rsi
6748293424|sub [esp],rsi
67482936|sub [esi],rsi
67482936|sub [esi],rsi
67482937|sub [edi],rsi
67482937|sub [edi],rsi
6748293b|sub [ebx],rdi
6748293b|sub [ebx],rdi
6748293c24|sub [esp],rdi
6748293c24|sub [esp],rdi
6748293e|sub [esi],rdi
6748293e|sub [esi],rdi
6748293f|sub [edi],rdi
6748293f|sub [edi],rdi
6748294500|sub [ebp],rax
6748294500|sub [ebp],rax
6748294d00|sub [ebp],rcx
6748294d00|sub [ebp],rcx
6748295d00|sub [ebp],rbx
6748295d00|sub [ebp],rbx
6748296500|sub [ebp],rsp
6748296500|sub [ebp],rsp
6748296d00|sub [ebp],rbp
6748296d00|sub [ebp],rbp
6748297500|sub [ebp],rsi
6748297500|sub [ebp],rsi
6748297d00|sub [ebp],rdi
6748297d00|sub [ebp],rdi
67482b03|sub rax,[ebx]
67482b03|sub rax,[ebx]
67482b0424|sub rax,[esp]
67482b0424|sub rax,[esp]
67482b06|sub rax,[esi]
67482b06|sub rax,[esi]
67482b07|sub rax,[edi]
67482b07|sub rax,[edi]
67482b0b|sub rcx,[ebx]
67482b0b|sub rcx,[ebx]
67482b0c24|sub rcx,[esp]
67482b0c24|sub rcx,[esp]
67482b0e|sub rcx,[esi]
67482b0e|sub rcx,[esi]
67482b0f|sub rcx,[edi]
67482b0f|sub rcx,[edi]
67482b1b|sub rbx,[ebx]
67482b1b|sub rbx,[ebx]
67482b1c24|sub rbx,[esp]
67482b1c24|sub rbx,[esp]
67482b1e|sub rbx,[esi]
67482b1e|sub rbx,[esi]
67482b1f|sub rbx,[edi]
67482b1f|sub rbx,[edi]
67482b23|sub rsp,[ebx]
67482b23|sub rsp,[ebx]
67482b2424|sub rsp,[esp]
67482b2424|sub rsp,[esp]
67482b26|sub rsp,[esi]
67482b26|sub rsp,[esi]
67482b27|sub rsp,[edi]
67482b27|sub rsp,[edi]
67482b2b|sub rbp,[ebx]
67482b2b|sub rbp,[ebx]
67482b2c24|sub rbp,[esp]
67482b2c24|sub rbp,[esp]
67482b2e|sub rbp,[esi]
67482b2e|sub rbp,[esi]
67482b2f|sub rbp,[edi]
67482b2f|sub rbp,[edi]
67482b33|sub rsi,[ebx]
67482b33|sub rsi,[ebx]
67482b3424|sub rsi,[esp]
67482b3424|sub rsi,[esp]
67482b36|sub rsi,[esi]
67482b36|sub rsi,[esi]
67482b37|sub rsi,[edi]
67482b37|sub rsi,[edi]
67482b3b|sub rdi,[ebx]
67482b3b|sub rdi,[ebx]
67482b3c24|sub rdi,[esp]
67482b3c24|sub rdi,[esp]
67482b3e|sub rdi,[esi]
67482b3e|sub rdi,[esi]
67482b3f|sub rdi,[edi]
67482b3f|sub rdi,[edi]
67482b4500|sub rax,[ebp]
67482b4500|sub rax,[ebp]
67482b4d00|sub rcx,[ebp]
67482b4d00|sub rcx,[ebp]
67482b5d00|sub rbx,[ebp]
67482b5d00|sub rbx,[ebp]
67482b6500|sub rsp,[ebp]
67482b6500|sub rsp,[ebp]
67482b6d00|sub rbp,[ebp]
67482b6d00|sub rbp,[ebp]
67482b7500|sub rsi,[ebp]
67482b7500|sub rsi,[ebp]
67482b7d00|sub rdi,[ebp]
67482b7d00|sub rdi,[ebp]
67483103|xor [ebx],rax
67483103|xor [ebx],rax
6748310424|xor [esp],rax
6748310424|xor [esp],rax
67483106|xor [esi],rax
67483106|xor [esi],rax
67483107|xor [edi],rax
67483107|xor [edi],rax
6748310b|xor [ebx],rcx
6748310b|xor [ebx],rcx
6748310c24|xor [esp],rcx
6748310c24|xor [esp],rcx
6748310e|xor [esi],rcx
6748310e|xor [esi],rcx
6748310f|xor [edi],rcx
6748310f|xor [edi],rcx
6748311b|xor [ebx],rbx
6748311b|xor [ebx],rbx
6748311c24|xor [esp],rbx
6748311c24|xor [esp],rbx
6748311e|xor [esi],rbx
6748311e|xor [esi],rbx
6748311f|xor [edi],rbx
6748311f|xor [edi],rbx
67483123|xor [ebx],rsp
67483123|xor [ebx],rsp
6748312424|xor [esp],rsp
6748312424|xor [esp],rsp
67483126|xor [esi],rsp
67483126|xor [esi],rsp
67483127|xor [edi],rsp
67483127|xor [edi],rsp
6748312b|xor [ebx],rbp
6748312b|xor [ebx],rbp
6748312c24|xor [esp],rbp
6748312c24|xor [esp],rbp
6748312e|xor [esi],rbp
6748312e|xor [esi],rbp
6748312f|xor [edi],rbp
6748312f|xor [edi],rbp
67483133|xor [ebx],rsi
67483133|xor [ebx],rsi
6748313424|xor [esp],rsi
6748313424|xor [esp],rsi
67483136|xor [esi],rsi
67483136|xor [esi],rsi
67483137|xor [edi],rsi
67483137|xor [edi],rsi
6748313b|xor [ebx],rdi
6748313b|xor [ebx],rdi
6748313c24|xor [esp],rdi
6748313c24|xor [esp],rdi
6748313e|xor [esi],rdi
6748313e|xor [esi],rdi
6748313f|xor [edi],rdi
6748313f|xor [edi],rdi
6748314500|xor [ebp],rax
6748314500|xor [ebp],rax
6748314d00|xor [ebp],rcx
6748314d00|xor [ebp],rcx
6748315d00|xor [ebp],rbx
6748315d00|xor [ebp],rbx
6748316500|xor [ebp],rsp
6748316500|xor [ebp],rsp
6748316d00|xor [ebp],rbp
6748316d00|xor [ebp],rbp
6748317500|xor [ebp],rsi
6748317500|xor [ebp],rsi
6748317d00|xor [ebp],rdi
6748317d00|xor [ebp],rdi
67483303|xor rax,[ebx]
67483303|xor rax,[ebx]
6748330424|xor rax,[esp]
6748330424|xor rax,[esp]
67483306|xor rax,[esi]
67483306|xor rax,[esi]
67483307|xor rax,[edi]
67483307|xor rax,[edi]
6748330b|xor rcx,[ebx]
6748330b|xor rcx,[ebx]
6748330c24|xor rcx,[esp]
6748330c24|xor rcx,[esp]
6748330e|xor rcx,[esi]
6748330e|xor rcx,[esi]
6748330f|xor rcx,[edi]
6748330f|xor rcx,[edi]
6748331b|xor rbx,[ebx]
6748331b|xor rbx,[ebx]
6748331c24|xor rbx,[esp]
6748331c24|xor rbx,[esp]
6748331e|xor rbx,[esi]
6748331e|xor rbx,[esi]
6748331f|xor rbx,[edi]
6748331f|xor rbx,[edi]
67483323|xor rsp,[ebx]
67483323|xor rsp,[ebx]
6748332424|xor rsp,[esp]
6748332424|xor rsp,[esp]
67483326|xor rsp,[esi]
67483326|xor rsp,[esi]
67483327|xor rsp,[edi]
67483327|xor rsp,[edi]
6748332b|xor rbp,[ebx]
6748332b|xor rbp,[ebx]
6748332c24|xor rbp,[esp]
6748332c24|xor rbp,[esp]
6748332e|xor rbp,[esi]
6748332e|xor rbp,[esi]
6748332f|xor rbp,[edi]
6748332f|xor rbp,[edi]
67483333|xor rsi,[ebx]
67483333|xor rsi,[ebx]
6748333424|xor rsi,[esp]
6748333424|xor rsi,[esp]
67483336|xor rsi,[esi]
67483336|xor rsi,[esi]
67483337|xor rsi,[edi]
67483337|xor rsi,[edi]
6748333b|xor rdi,[ebx]
6748333b|xor rdi,[ebx]
6748333c24|xor rdi,[esp]
6748333c24|xor rdi,[esp]
6748333e|xor rdi,[esi]
6748333e|xor rdi,[esi]
6748333f|xor rdi,[edi]
6748333f|xor rdi,[edi]
6748334500|xor rax,[ebp]
6748334500|xor rax,[ebp]
6748334d00|xor rcx,[ebp]
6748334d00|xor rcx,[ebp]
6748335d00|xor rbx,[ebp]
6748335d00|xor rbx,[ebp]
6748336500|xor rsp,[ebp]
6748336500|xor rsp,[ebp]
6748336d00|xor rbp,[ebp]
6748336d00|xor rbp,[ebp]
6748337500|xor rsi,[ebp]
6748337500|xor rsi,[ebp]
6748337d00|xor rdi,[ebp]
6748337d00|xor rdi,[ebp]
67483903|cmp [ebx],rax
6748390424|cmp [esp],rax
67483906|cmp [esi],rax
67483907|cmp [edi],rax
6748390b|cmp [ebx],rcx
6748390c24|cmp [esp],rcx
6748390e|cmp [esi],rcx
6748390f|cmp [edi],rcx
6748391b|cmp [ebx],rbx
6748391c24|cmp [esp],rbx
6748391e|cmp [esi],rbx
6748391f|cmp [edi],rbx
67483923|cmp [ebx],rsp
6748392424|cmp [esp],rsp
67483926|cmp [esi],rsp
67483927|cmp [edi],rsp
6748392b|cmp [ebx],rbp
6748392c24|cmp [esp],rbp
6748392e|cmp [esi],rbp
6748392f|cmp [edi],rbp
67483933|cmp [ebx],rsi
6748393424|cmp [esp],rsi
67483936|cmp [esi],rsi
67483937|cmp [edi],rsi
6748393b|cmp [ebx],rdi
6748393c24|cmp [esp],rdi
6748393e|cmp [esi],rdi
6748393f|cmp [edi],rdi
6748394500|cmp [ebp],rax
6748394d00|cmp [ebp],rcx
6748395d00|cmp [ebp],rbx
6748396500|cmp [ebp],rsp
6748396d00|cmp [ebp],rbp
6748397500|cmp [ebp],rsi
6748397d00|cmp [ebp],rdi
67483b03|cmp rax,[ebx]
67483b0424|cmp rax,[esp]
67483b06|cmp rax,[esi]
67483b07|cmp rax,[edi]
67483b0b|cmp rcx,[ebx]
67483b0c24|cmp rcx,[esp]
67483b0e|cmp rcx,[esi]
67483b0f|cmp rcx,[edi]
67483b1b|cmp rbx,[ebx]
67483b1c24|cmp rbx,[esp]
67483b1e|cmp rbx,[esi]
67483b1f|cmp rbx,[edi]
67483b23|cmp rsp,[ebx]
67483b2424|cmp rsp,[esp]
67483b26|cmp rsp,[esi]
67483b27|cmp rsp,[edi]
67483b2b|cmp rbp,[ebx]
67483b2c24|cmp rbp,[esp]
67483b2e|cmp rbp,[esi]
67483b2f|cmp rbp,[edi]
67483b33|cmp rsi,[ebx]
67483b3424|cmp rsi,[esp]
67483b36|cmp rsi,[esi]
67483b37|cmp rsi,[edi]
67483b3b|cmp rdi,[ebx]
67483b3c24|cmp rdi,[esp]
67483b3e|cmp rdi,[esi]
67483b3f|cmp rdi,[edi]
67483b4500|cmp rax,[ebp]
67483b4d00|cmp rcx,[ebp]
67483b5d00|cmp rbx,[ebp]
67483b6500|cmp rsp,[ebp]
67483b6d00|cmp rbp,[ebp]
67483b7500|cmp rsi,[ebp]
67483b7d00|cmp rdi,[ebp]
67488503|test [ebx],rax
67488503|test rax,[ebx]
6748850424|test [esp],rax
6748850424|test rax,[esp]
67488506|test [esi],rax
67488506|test rax,[esi]
67488507|test [edi],rax
67488507|test rax,[edi]
6748850b|test [ebx],rcx
6748850b|test rcx,[ebx]
6748850c24|test [esp],rcx
6748850c24|test rcx,[esp]
6748850e|test [esi],rcx
6748850e|test rcx,[esi]
6748850f|test [edi],rcx
6748850f|test rcx,[edi]
6748851b|test [ebx],rbx
6748851b|test rbx,[ebx]
6748851c24|test [esp],rbx
6748851c24|test rbx,[esp]
6748851e|test [esi],rbx
6748851e|test rbx,[esi]
6748851f|test [edi],rbx
6748851f|test rbx,[edi]
67488523|test [ebx],rsp
67488523|test rsp,[ebx]
6748852424|test [esp],rsp
6748852424|test rsp,[esp]
67488526|test [esi],rsp
67488526|test rsp,[esi]
67488527|test [edi],rsp
67488527|test rsp,[edi]
6748852b|test [ebx],rbp
6748852b|test rbp,[ebx]
6748852c24|test [esp],rbp
6748852c24|test rbp,[esp]
6748852e|test [esi],rbp
6748852e|test rbp,[esi]
6748852f|test [edi],rbp
6748852f|test rbp,[edi]
67488533|test [ebx],rsi
67488533|test rsi,[ebx]
6748853424|test [esp],rsi
6748853424|test rsi,[esp]
67488536|test [esi],rsi
67488536|test rsi,[esi]
67488537|test [edi],rsi
67488537|test rsi,[edi]
6748853b|test [ebx],rdi
6748853b|test rdi,[ebx]
6748853c24|test [esp],rdi
6748853c24|test rdi,[esp]
6748853e|test [esi],rdi
6748853e|test rdi,[esi]
6748853f|test [edi],rdi
6748853f|test rdi,[edi]
6748854500|test [ebp],rax
6748854500|test rax,[ebp]
6748854d00|test [ebp],rcx
6748854d00|test rcx,[ebp]
6748855d00|test [ebp],rbx
6748855d00|test rbx,[ebp]
6748856500|test [ebp],rsp
6748856500|test rsp,[ebp]
6748856d00|test [ebp],rbp
6748856d00|test rbp,[ebp]
6748857500|test [ebp],rsi
6748857500|test rsi,[ebp]
6748857d00|test [ebp],rdi
6748857d00|test rdi,[ebp]
67488703|xchg [ebx],rax
67488703|xchg rax,[ebx]
6748870424|xchg [esp],rax
6748870424|xchg rax,[esp]
67488706|xchg [esi],rax
67488706|xchg rax,[esi]
67488707|xchg [edi],rax
67488707|xchg rax,[edi]
6748870b|xchg [ebx],rcx
6748870b|xchg rcx,[ebx]
6748870c24|xchg [esp],rcx
6748870c24|xchg rcx,[esp]
6748870e|xchg [esi],rcx
6748870e|xchg rcx,[esi]
6748870f|xchg [edi],rcx
6748870f|xchg rcx,[edi]
6748871b|xchg [ebx],rbx
6748871b|xchg rbx,[ebx]
6748871c24|xchg [esp],rbx
6748871c24|xchg rbx,[esp]
6748871e|xchg [esi],rbx
6748871e|xchg rbx,[esi]
6748871f|xchg [edi],rbx
6748871f|xchg rbx,[edi]
67488723|xchg [ebx],rsp
67488723|xchg rsp,[ebx]
6748872424|xchg [esp],rsp
6748872424|xchg rsp,[esp]
67488726|xchg [esi],rsp
67488726|xchg rsp,[esi]
67488727|xchg [edi],rsp
67488727|xchg rsp,[edi]
6748872b|xchg [ebx],rbp
6748872b|xchg rbp,[ebx]
6748872c24|xchg [esp],rbp
6748872c24|xchg rbp,[esp]
6748872e|xchg [esi],rbp
6748872e|xchg rbp,[esi]
6748872f|xchg [edi],rbp
6748872f|xchg rbp,[edi]
67488733|xchg [ebx],rsi
67488733|xchg rsi,[ebx]
6748873424|xchg [esp],rsi
6748873424|xchg rsi,[esp]
67488736|xchg [esi],rsi
67488736|xchg rsi,[esi]
67488737|xchg [edi],rsi
67488737|xchg rsi,[edi]
6748873b|xchg [ebx],rdi
6748873b|xchg rdi,[ebx]
6748873c24|xchg [esp],rdi
6748873c24|xchg rdi,[esp]
6748873e|xchg [esi],rdi
6748873e|xchg rdi,[esi]
6748873f|xchg [edi],rdi
6748873f|xchg rdi,[edi]
6748874500|xchg [ebp],rax
6748874500|xchg rax,[ebp]
6748874d00|xchg [ebp],rcx
6748874d00|xchg rcx,[ebp]
6748875d00|xchg [ebp],rbx
6748875d00|xchg rbx,[ebp]
6748876500|xchg [ebp],rsp
6748876500|xchg rsp,[ebp]
6748876d00|xchg [ebp],rbp
6748876d00|xchg rbp,[ebp]
6748877500|xchg [ebp],rsi
6748877500|xchg rsi,[ebp]
6748877d00|xchg [ebp],rdi
6748877d00|xchg rdi,[ebp]
67488903|mov [ebx],rax
6748890424|mov [esp],rax
67488906|mov [esi],rax
67488907|mov [edi],rax
6748890b|mov [ebx],rcx
6748890c24|mov [esp],rcx
6748890e|mov [esi],rcx
6748890f|mov [edi],rcx
6748891b|mov [ebx],rbx
6748891c24|mov [esp],rbx
6748891e|mov [esi],rbx
6748891f|mov [edi],rbx
67488923|mov [ebx],rsp
6748892424|mov [esp],rsp
67488926|mov [esi],rsp
67488927|mov [edi],rsp
6748892b|mov [ebx],rbp
6748892c24|mov [esp],rbp
6748892e|mov [esi],rbp
6748892f|mov [edi],rbp
67488933|mov [ebx],rsi
6748893424|mov [esp],rsi
67488936|mov [esi],rsi
67488937|mov [edi],rsi
6748893b|mov [ebx],rdi
6748893c24|mov [esp],rdi
6748893e|mov [esi],rdi
6748893f|mov [edi],rdi
6748894500|mov [ebp],rax
6748894d00|mov [ebp],rcx
6748895d00|mov [ebp],rbx
6748896500|mov [ebp],rsp
6748896d00|mov [ebp],rbp
6748897500|mov [ebp],rsi
6748897d00|mov [ebp],rdi
67488b03|mov rax,[ebx]
67488b0424|mov rax,[esp]
67488b06|mov rax,[esi]
67488b07|mov rax,[edi]
67488b0b|mov rcx,[ebx]
67488b0c24|mov rcx,[esp]
67488b0e|mov rcx,[esi]
67488b0f|mov rcx,[edi]
67488b1b|mov rbx,[ebx]
67488b1c24|mov rbx,[esp]
67488b1e|mov rbx,[esi]
67488b1f|mov rbx,[edi]
67488b23|mov rsp,[ebx]
67488b2424|mov rsp,[esp]
67488b26|mov rsp,[esi]
67488b27|mov rsp,[edi]
67488b2b|mov rbp,[ebx]
67488b2c24|mov rbp,[esp]
67488b2e|mov rbp,[esi]
67488b2f|mov rbp,[edi]
67488b33|mov rsi,[ebx]
67488b3424|mov rsi,[esp]
67488b36|mov rsi,[esi]
67488b37|mov rsi,[edi]
67488b3b|mov rdi,[ebx]
67488b3c24|mov rdi,[esp]
67488b3e|mov rdi,[esi]
67488b3f|mov rdi,[edi]
67488b4500|mov rax,[ebp]
67488b4d00|mov rcx,[ebp]
67488b5d00|mov rbx,[ebp]
67488b6500|mov rsp,[ebp]
67488b6d00|mov rbp,[ebp]
67488b7500|mov rsi,[ebp]
67488b7d00|mov rdi,[ebp]
67488d03|lea rax,[ebx]
67488d0424|lea rax,[esp]
67488d06|lea rax,[esi]
67488d07|lea rax,[edi]
67488d0b|lea rcx,[ebx]
67488d0c24|lea rcx,[esp]
67488d0e|lea rcx,[esi]
67488d0f|lea rcx,[edi]
67488d1b|lea rbx,[ebx]
67488d1c24|lea rbx,[esp]
67488d1e|lea rbx,[esi]
67488d1f|lea rbx,[edi]
67488d23|lea rsp,[ebx]
67488d2424|lea rsp,[esp]
67488d26|lea rsp,[esi]
67488d27|lea rsp,[edi]
67488d2b|lea rbp,[ebx]
67488d2c24|lea rbp,[esp]
67488d2e|lea rbp,[esi]
67488d2f|lea rbp,[edi]
67488d33|lea rsi,[ebx]
67488d3424|lea rsi,[esp]
67488d36|lea rsi,[esi]
67488d37|lea rsi,[edi]
67488d3b|lea rdi,[ebx]
67488d3c24|lea rdi,[esp]
67488d3e|lea rdi,[esi]
67488d3f|lea rdi,[edi]
67488d4500|lea rax,[ebp]
67488d4d00|lea rcx,[ebp]
67488d5d00|lea rbx,[ebp]
67488d6500|lea rsp,[ebp]
67488d6d00|lea rbp,[ebp]
67488d7500|lea rsi,[ebp]
67488d7d00|lea rdi,[ebp]
678403|test al,[ebx]
678403|test [ebx],al
67840424|test al,[esp]
67840424|test [esp],al
678406|test al,[esi]
678406|test [esi],al
678407|test al,[edi]
678407|test [edi],al
67840b|test cl,[ebx]
67840b|test [ebx],cl
67840c24|test cl,[esp]
67840c24|test [esp],cl
67840e|test cl,[esi]
67840e|test [esi],cl
67840f|test cl,[edi]
67840f|test [edi],cl
678413|test dl,[ebx]
678413|test [ebx],dl
67841424|test dl,[esp]
67841424|test [esp],dl
678416|test dl,[esi]
678416|test [esi],dl
678417|test dl,[edi]
678417|test [edi],dl
67841b|test bl,[ebx]
67841b|test [ebx],bl
67841c24|test bl,[esp]
67841c24|test [esp],bl
67841e|test bl,[esi]
67841e|test [esi],bl
67841f|test bl,[edi]
67841f|test [edi],bl
678423|test ah,[ebx]
678423|test [ebx],ah
67842424|test ah,[esp]
67842424|test [esp],ah
678426|test ah,[esi]
678426|test [esi],ah
678427|test ah,[edi]
678427|test [edi],ah
67842b|test ch,[ebx]
67842b|test [ebx],ch
67842c24|test ch,[esp]
67842c24|test [esp],ch
67842e|test ch,[esi]
67842e|test [esi],ch
67842f|test ch,[edi]
67842f|test [edi],ch
678433|test dh,[ebx]
678433|test [ebx],dh
67843424|test dh,[esp]
67843424|test [esp],dh
678436|test dh,[esi]
678436|test [esi],dh
678437|test dh,[edi]
678437|test [edi],dh
67843b|test bh,[ebx]
67843b|test [ebx],bh
67843c24|test bh,[esp]
67843c24|test [esp],bh
67843e|test bh,[esi]
67843e|test [esi],bh
67843f|test bh,[edi]
67843f|test [edi],bh
67844500|test al,[ebp]
67844500|test [ebp],al
67844d00|test cl,[ebp]
67844d00|test [ebp],cl
67845500|test dl,[ebp]
67845500|test [ebp],dl
67845d00|test bl,[ebp]
67845d00|test [ebp],bl
67846500|test ah,[ebp]
67846500|test [ebp],ah
67846d00|test ch,[ebp]
67846d00|test [ebp],ch
67847500|test dh,[ebp]
67847500|test [ebp],dh
67847d00|test bh,[ebp]
67847d00|test [ebp],bh
678503|test eax,[ebx]
678503|test [ebx],eax
67850424|test eax,[esp]
67850424|test [esp],eax
678506|test eax,[esi]
678506|test [esi],eax
678507|test eax,[edi]
678507|test [edi],eax
67850b|test [ebx],ecx
67850b|test ecx,[ebx]
67850c24|test ecx,[esp]
67850c24|test [esp],ecx
67850e|test ecx,[esi]
67850e|test [esi],ecx
67850f|test ecx,[edi]
67850f|test [edi],ecx
67851b|test [ebx],ebx
67851b|test ebx,[ebx]
67851c24|test ebx,[esp]
67851c24|test [esp],ebx
67851e|test ebx,[esi]
67851e|test [esi],ebx
67851f|test ebx,[edi]
67851f|test [edi],ebx
678523|test [ebx],esp
678523|test esp,[ebx]
67852424|test [esp],esp
67852424|test esp,[esp]
678526|test [esi],esp
678526|test esp,[esi]
678527|test [edi],esp
678527|test esp,[edi]
67852b|test ebp,[ebx]
67852b|test [ebx],ebp
67852c24|test ebp,[esp]
67852c24|test [esp],ebp
67852e|test ebp,[esi]
67852e|test [esi],ebp
67852f|test ebp,[edi]
67852f|test [edi],ebp
678533|test [ebx],esi
678533|test esi,[ebx]
67853424|test esi,[esp]
67853424|test [esp],esi
678536|test [esi],esi
678536|test esi,[esi]
678537|test [edi],esi
678537|test esi,[edi]
67853b|test [ebx],edi
67853b|test edi,[ebx]
67853c24|test edi,[esp]
67853c24|test [esp],edi
67853e|test edi,[esi]
67853e|test [esi],edi
67853f|test [edi],edi
67853f|test edi,[edi]
67854500|test eax,[ebp]
67854500|test [ebp],eax
67854d00|test [ebp],ecx
67854d00|test ecx,[ebp]
67855d00|test [ebp],ebx
67855d00|test ebx,[ebp]
67856500|test [ebp],esp
67856500|test esp,[ebp]
67856d00|test [ebp],ebp
67856d00|test ebp,[ebp]
67857500|test [ebp],esi
67857500|test esi,[ebp]
67857d00|test [ebp],edi
67857d00|test edi,[ebp]
678603|xchg al,[ebx]
678603|xchg [ebx],al
67860424|xchg al,[esp]
67860424|xchg [esp],al
678606|xchg al,[esi]
678606|xchg [esi],al
678607|xchg al,[edi]
678607|xchg [edi],al
67860b|xchg cl,[ebx]
67860b|xchg [ebx],cl
67860c24|xchg cl,[esp]
67860c24|xchg [esp],cl
67860e|xchg cl,[esi]
67860e|xchg [esi],cl
67860f|xchg cl,[edi]
67860f|xchg [edi],cl
678613|xchg dl,[ebx]
678613|xchg [ebx],dl
67861424|xchg dl,[esp]
67861424|xchg [esp],dl
678616|xchg dl,[esi]
678616|xchg [esi],dl
678617|xchg dl,[edi]
678617|xchg [edi],dl
67861b|xchg bl,[ebx]
67861b|xchg [ebx],bl
67861c24|xchg bl,[esp]
67861c24|xchg [esp],bl
67861e|xchg bl,[esi]
67861e|xchg [esi],bl
67861f|xchg bl,[edi]
67861f|xchg [edi],bl
678623|xchg ah,[ebx]
678623|xchg [ebx],ah
67862424|xchg ah,[esp]
67862424|xchg [esp],ah
678626|xchg ah,[esi]
678626|xchg [esi],ah
678627|xchg ah,[edi]
678627|xchg [edi],ah
67862b|xchg ch,[ebx]
67862b|xchg [ebx],ch
67862c24|xchg ch,[esp]
67862c24|xchg [esp],ch
67862e|xchg ch,[esi]
67862e|xchg [esi],ch
67862f|xchg ch,[edi]
67862f|xchg [edi],ch
678633|xchg dh,[ebx]
678633|xchg [ebx],dh
67863424|xchg dh,[esp]
67863424|xchg [esp],dh
678636|xchg dh,[esi]
678636|xchg [esi],dh
678637|xchg dh,[edi]
678637|xchg [edi],dh
67863b|xchg bh,[ebx]
67863b|xchg [ebx],bh
67863c24|xchg bh,[esp]
67863c24|xchg [esp],bh
67863e|xchg bh,[esi]
67863e|xchg [esi],bh
67863f|xchg bh,[edi]
67863f|xchg [edi],bh
67864500|xchg al,[ebp]
67864500|xchg [ebp],al
67864d00|xchg cl,[ebp]
67864d00|xchg [ebp],cl
67865500|xchg dl,[ebp]
67865500|xchg [ebp],dl
67865d00|xchg bl,[ebp]
67865d00|xchg [ebp],bl
67866500|xchg ah,[ebp]
67866500|xchg [ebp],ah
67866d00|xchg ch,[ebp]
67866d00|xchg [ebp],ch
67867500|xchg dh,[ebp]
67867500|xchg [ebp],dh
67867d00|xchg bh,[ebp]
67867d00|xchg [ebp],bh
678703|xchg eax,[ebx]
678703|xchg [ebx],eax
67870424|xchg eax,[esp]
67870424|xchg [esp],eax
678706|xchg eax,[esi]
678706|xchg [esi],eax
678707|xchg eax,[edi]
678707|xchg [edi],eax
67870b|xchg [ebx],ecx
67870b|xchg ecx,[ebx]
67870c24|xchg ecx,[esp]
67870c24|xchg [esp],ecx
67870e|xchg ecx,[esi]
67870e|xchg [esi],ecx
67870f|xchg ecx,[edi]
67870f|xchg [edi],ecx
67871b|xchg [ebx],ebx
67871b|xchg ebx,[ebx]
67871c24|xchg ebx,[esp]
67871c24|xchg [esp],ebx
67871e|xchg ebx,[esi]
67871e|xchg [esi],ebx
67871f|xchg ebx,[edi]
67871f|xchg [edi],ebx
678723|xchg [ebx],esp
678723|xchg esp,[ebx]
67872424|xchg [esp],esp
67872424|xchg esp,[esp]
678726|xchg [esi],esp
678726|xchg esp,[esi]
678727|xchg [edi],esp
678727|xchg esp,[edi]
67872b|xchg ebp,[ebx]
67872b|xchg [ebx],ebp
67872c24|xchg ebp,[esp]
67872c24|xchg [esp],ebp
67872e|xchg ebp,[esi]
67872e|xchg [esi],ebp
67872f|xchg ebp,[edi]
67872f|xchg [edi],ebp
678733|xchg [ebx],esi
678733|xchg esi,[ebx]
67873424|xchg esi,[esp]
67873424|xchg [esp],esi
678736|xchg [esi],esi
678736|xchg esi,[esi]
678737|xchg [edi],esi
678737|xchg esi,[edi]
67873b|xchg [ebx],edi
67873b|xchg edi,[ebx]
67873c24|xchg edi,[esp]
67873c24|xchg [esp],edi
67873e|xchg edi,[esi]
67873e|xchg [esi],edi
67873f|xchg [edi],edi
67873f|xchg edi,[edi]
67874500|xchg eax,[ebp]
67874500|xchg [ebp],eax
67874d00|xchg [ebp],ecx
67874d00|xchg ecx,[ebp]
67875d00|xchg [ebp],ebx
67875d00|xchg ebx,[ebp]
67876500|xchg [ebp],esp
